question_id,question,k,ROUGE1_Nugget@k,ROUGEL_Nugget@k,ROUGE_Nugget@k,BM25_Nugget@k,nugget_count,retrieved_snippet_count
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,1,0.0,0.0,0.0,0.0,4,0
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,3,0.0,0.0,0.0,0.0,4,0
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,5,0.0,0.0,0.0,0.0,4,0
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,10,0.0,0.0,0.0,0.0,4,0
BQ010,Should flow or mass cytometry studies avoid processing delays greater than 5 hours for susceptible PBMC populations?,1,0.0,0.0,0.0,0.0,4,0
BQ010,Should flow or mass cytometry studies avoid processing delays greater than 5 hours for susceptible PBMC populations?,3,0.0,0.0,0.0,0.0,4,0
BQ010,Should flow or mass cytometry studies avoid processing delays greater than 5 hours for susceptible PBMC populations?,5,0.0,0.0,0.0,0.0,4,0
BQ010,Should flow or mass cytometry studies avoid processing delays greater than 5 hours for susceptible PBMC populations?,10,0.0,0.0,0.0,0.0,4,0
BQ011,Do processing delays up to 72 hours at room temperature or 4 degrees Celsius significantly affect plasma cytokines?,1,0.0,0.0,0.0,0.0,4,0
BQ011,Do processing delays up to 72 hours at room temperature or 4 degrees Celsius significantly affect plasma cytokines?,3,0.0,0.0,0.0,0.0,4,0
BQ011,Do processing delays up to 72 hours at room temperature or 4 degrees Celsius significantly affect plasma cytokines?,5,0.0,0.0,0.0,0.0,4,0
BQ011,Do processing delays up to 72 hours at room temperature or 4 degrees Celsius significantly affect plasma cytokines?,10,0.0,0.0,0.0,0.0,4,0
BQ012,Are plasma chemokines stable after delayed processing up to 72 hours at room temperature or 4 degrees Celsius?,1,0.0,0.0,0.0,0.0,4,0
BQ012,Are plasma chemokines stable after delayed processing up to 72 hours at room temperature or 4 degrees Celsius?,3,0.0,0.0,0.0,0.0,4,0
BQ012,Are plasma chemokines stable after delayed processing up to 72 hours at room temperature or 4 degrees Celsius?,5,0.0,0.0,0.0,0.0,4,0
BQ012,Are plasma chemokines stable after delayed processing up to 72 hours at room temperature or 4 degrees Celsius?,10,0.0,0.0,0.0,0.0,4,0
BQ013,Is plasma cell-free DNA affected by sample processing delays up to 72 hours at room temperature or 4 degrees Celsius?,1,0.0,0.0,0.0,0.0,4,0
BQ013,Is plasma cell-free DNA affected by sample processing delays up to 72 hours at room temperature or 4 degrees Celsius?,3,0.0,0.0,0.0,0.0,4,0
BQ013,Is plasma cell-free DNA affected by sample processing delays up to 72 hours at room temperature or 4 degrees Celsius?,5,0.0,0.0,0.0,0.0,4,0
BQ013,Is plasma cell-free DNA affected by sample processing delays up to 72 hours at room temperature or 4 degrees Celsius?,10,0.0,0.0,0.0,0.0,4,0
BQ014,Does delayed processing up to 72 hours affect plasma blood clotting potential measured by thrombin generation?,1,0.0958,0.0846,0.0902,0.151,4,1
BQ014,Does delayed processing up to 72 hours affect plasma blood clotting potential measured by thrombin generation?,3,0.1463,0.1448,0.1456,0.28,4,3
BQ014,Does delayed processing up to 72 hours affect plasma blood clotting potential measured by thrombin generation?,5,0.1724,0.1663,0.1693,0.3777,4,5
BQ014,Does delayed processing up to 72 hours affect plasma blood clotting potential measured by thrombin generation?,10,0.1875,0.186,0.1867,0.4027,4,10
BQ015,Does long-term storage at minus 20 degrees Celsius versus minus 80 degrees Celsius affect serum metabolomic and proteomic biomarkers?,1,0.0,0.0,0.0,0.0,4,0
BQ015,Does long-term storage at minus 20 degrees Celsius versus minus 80 degrees Celsius affect serum metabolomic and proteomic biomarkers?,3,0.0,0.0,0.0,0.0,4,0
BQ015,Does long-term storage at minus 20 degrees Celsius versus minus 80 degrees Celsius affect serum metabolomic and proteomic biomarkers?,5,0.0,0.0,0.0,0.0,4,0
BQ015,Does long-term storage at minus 20 degrees Celsius versus minus 80 degrees Celsius affect serum metabolomic and proteomic biomarkers?,10,0.0,0.0,0.0,0.0,4,0
BQ016,Can serum glutamate/glutamine ratio indicate sub-optimal long-term storage at minus 20 degrees Celsius?,1,0.0,0.0,0.0,0.0,4,0
BQ016,Can serum glutamate/glutamine ratio indicate sub-optimal long-term storage at minus 20 degrees Celsius?,3,0.0,0.0,0.0,0.0,4,0
BQ016,Can serum glutamate/glutamine ratio indicate sub-optimal long-term storage at minus 20 degrees Celsius?,5,0.0,0.0,0.0,0.0,4,0
BQ016,Can serum glutamate/glutamine ratio indicate sub-optimal long-term storage at minus 20 degrees Celsius?,10,0.0,0.0,0.0,0.0,4,0
BQ017,Is glutamine susceptible to long-term serum storage at minus 20 degrees Celsius compared with minus 80 degrees Celsius?,1,0.0,0.0,0.0,0.0,4,0
BQ017,Is glutamine susceptible to long-term serum storage at minus 20 degrees Celsius compared with minus 80 degrees Celsius?,3,0.0,0.0,0.0,0.0,4,0
BQ017,Is glutamine susceptible to long-term serum storage at minus 20 degrees Celsius compared with minus 80 degrees Celsius?,5,0.0,0.0,0.0,0.0,4,0
BQ017,Is glutamine susceptible to long-term serum storage at minus 20 degrees Celsius compared with minus 80 degrees Celsius?,10,0.0,0.0,0.0,0.0,4,0
BQ018,Do plasma and serum metabolomic profiles depend on pre-analytical factors such as processing delay and freeze-thaw cycles?,1,0.0,0.0,0.0,0.0,4,0
BQ018,Do plasma and serum metabolomic profiles depend on pre-analytical factors such as processing delay and freeze-thaw cycles?,3,0.0,0.0,0.0,0.0,4,0
BQ018,Do plasma and serum metabolomic profiles depend on pre-analytical factors such as processing delay and freeze-thaw cycles?,5,0.0,0.0,0.0,0.0,4,0
BQ018,Do plasma and serum metabolomic profiles depend on pre-analytical factors such as processing delay and freeze-thaw cycles?,10,0.0,0.0,0.0,0.0,4,0
BQ019,Can multiple freeze-thaw cycles alter urine metabolomic findings?,1,0.1158,0.0968,0.1063,0.1735,4,1
BQ019,Can multiple freeze-thaw cycles alter urine metabolomic findings?,3,0.1482,0.1244,0.1363,0.1866,4,3
BQ019,Can multiple freeze-thaw cycles alter urine metabolomic findings?,5,0.1482,0.1244,0.1363,0.2436,4,5
BQ019,Can multiple freeze-thaw cycles alter urine metabolomic findings?,10,0.1482,0.1244,0.1363,0.2625,4,7
BQ020,"Does one freeze-thaw cycle after storage at minus 70 degrees Celsius meaningfully affect common nutritional, NCD, and inflammatory biomarkers in serum?",1,0.0,0.0,0.0,0.0,5,0
BQ020,"Does one freeze-thaw cycle after storage at minus 70 degrees Celsius meaningfully affect common nutritional, NCD, and inflammatory biomarkers in serum?",3,0.0,0.0,0.0,0.0,5,0
BQ020,"Does one freeze-thaw cycle after storage at minus 70 degrees Celsius meaningfully affect common nutritional, NCD, and inflammatory biomarkers in serum?",5,0.0,0.0,0.0,0.0,5,0
BQ020,"Does one freeze-thaw cycle after storage at minus 70 degrees Celsius meaningfully affect common nutritional, NCD, and inflammatory biomarkers in serum?",10,0.0,0.0,0.0,0.0,5,0
