question_id,question,k,nugget,best_rouge1_f1,best_rougel_f1,best_rouge_combined,best_bm25_normalized,best_rouge1_rank,best_rougel_rank,best_bm25_rank
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,5,glucose was not stable in at least one delayed centrifugation condition,0.0,0.0,0.0,0.0,,,
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,5,"serum gel tubes were exposed to 15, 25, or 35 degrees Celsius",0.0,0.0,0.0,0.0,,,
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,5,delays before centrifugation included up to 24 hours,0.0,0.0,0.0,0.0,,,
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,5,glucose validity may be affected by pre-centrifugation delay,0.0,0.0,0.0,0.0,,,
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,10,glucose was not stable in at least one delayed centrifugation condition,0.0,0.0,0.0,0.0,,,
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,10,"serum gel tubes were exposed to 15, 25, or 35 degrees Celsius",0.0,0.0,0.0,0.0,,,
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,10,delays before centrifugation included up to 24 hours,0.0,0.0,0.0,0.0,,,
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,10,glucose validity may be affected by pre-centrifugation delay,0.0,0.0,0.0,0.0,,,
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,1,phosphate was not stable in at least one pre-centrifugation condition,0.0,0.0,0.0,0.0,,,
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,1,the sample type was serum gel tube blood,0.0,0.0,0.0,0.0,,,
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,1,"storage temperatures included 15, 25, and 35 degrees Celsius",0.0,0.0,0.0,0.0,,,
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,1,"storage times included 4, 8, and 24 hours",0.0,0.0,0.0,0.0,,,
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,3,phosphate was not stable in at least one pre-centrifugation condition,0.0,0.0,0.0,0.0,,,
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,3,the sample type was serum gel tube blood,0.0,0.0,0.0,0.0,,,
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,3,"storage temperatures included 15, 25, and 35 degrees Celsius",0.0,0.0,0.0,0.0,,,
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,3,"storage times included 4, 8, and 24 hours",0.0,0.0,0.0,0.0,,,
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,5,phosphate was not stable in at least one pre-centrifugation condition,0.0,0.0,0.0,0.0,,,
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,5,the sample type was serum gel tube blood,0.0,0.0,0.0,0.0,,,
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,5,"storage temperatures included 15, 25, and 35 degrees Celsius",0.0,0.0,0.0,0.0,,,
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,5,"storage times included 4, 8, and 24 hours",0.0,0.0,0.0,0.0,,,
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,10,phosphate was not stable in at least one pre-centrifugation condition,0.0,0.0,0.0,0.0,,,
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,10,the sample type was serum gel tube blood,0.0,0.0,0.0,0.0,,,
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,10,"storage temperatures included 15, 25, and 35 degrees Celsius",0.0,0.0,0.0,0.0,,,
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,10,"storage times included 4, 8, and 24 hours",0.0,0.0,0.0,0.0,,,
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,1,albumin remained stable in the tested storage conditions,0.0632,0.0421,0.0526,0.0969,1,1,1
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,1,serum gel tubes were stored before centrifugation,0.1277,0.1064,0.117,0.3643,1,1,1
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,1,"temperatures included 15, 25, and 35 degrees Celsius",0.0632,0.0632,0.0632,0.1055,1,1,1
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,1,time delays included up to 24 hours,0.0638,0.0638,0.0638,0.1005,1,1,1
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,3,albumin remained stable in the tested storage conditions,0.125,0.0833,0.1042,0.117,2,2,2
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,3,serum gel tubes were stored before centrifugation,0.1702,0.1277,0.1489,0.3639,2,2,1
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,3,"temperatures included 15, 25, and 35 degrees Celsius",0.0632,0.0632,0.0632,0.1155,1,1,1
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,3,time delays included up to 24 hours,0.0706,0.0706,0.0706,0.1978,3,3,3
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,5,albumin remained stable in the tested storage conditions,0.125,0.0833,0.1042,0.1119,2,2,2
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,5,serum gel tubes were stored before centrifugation,0.1702,0.1277,0.1489,0.3339,2,2,1
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,5,"temperatures included 15, 25, and 35 degrees Celsius",0.0632,0.0632,0.0632,0.0915,1,1,1
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,5,time delays included up to 24 hours,0.0896,0.0896,0.0896,0.1596,4,4,3
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,10,albumin remained stable in the tested storage conditions,0.1714,0.1143,0.1429,0.3388,6,6,6
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,10,serum gel tubes were stored before centrifugation,0.1702,0.1277,0.1489,0.3791,2,2,1
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,10,"temperatures included 15, 25, and 35 degrees Celsius",0.0833,0.0632,0.0732,0.1212,8,1,1
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,10,time delays included up to 24 hours,0.0896,0.0896,0.0896,0.1831,4,4,3
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,1,C-reactive protein remained stable in all tested serum gel tube storage conditions,0.0,0.0,0.0,0.0,,,
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,1,samples were stored before centrifugation,0.0,0.0,0.0,0.0,,,
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,1,"storage temperatures included 15, 25, and 35 degrees Celsius",0.0,0.0,0.0,0.0,,,
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,1,storage time reached 24 hours,0.0,0.0,0.0,0.0,,,
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,3,C-reactive protein remained stable in all tested serum gel tube storage conditions,0.0,0.0,0.0,0.0,,,
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,3,samples were stored before centrifugation,0.0,0.0,0.0,0.0,,,
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,3,"storage temperatures included 15, 25, and 35 degrees Celsius",0.0,0.0,0.0,0.0,,,
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,3,storage time reached 24 hours,0.0,0.0,0.0,0.0,,,
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,5,C-reactive protein remained stable in all tested serum gel tube storage conditions,0.0,0.0,0.0,0.0,,,
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,5,samples were stored before centrifugation,0.0,0.0,0.0,0.0,,,
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,5,"storage temperatures included 15, 25, and 35 degrees Celsius",0.0,0.0,0.0,0.0,,,
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,5,storage time reached 24 hours,0.0,0.0,0.0,0.0,,,
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,10,C-reactive protein remained stable in all tested serum gel tube storage conditions,0.0,0.0,0.0,0.0,,,
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,10,samples were stored before centrifugation,0.0,0.0,0.0,0.0,,,
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,10,"storage temperatures included 15, 25, and 35 degrees Celsius",0.0,0.0,0.0,0.0,,,
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,10,storage time reached 24 hours,0.0,0.0,0.0,0.0,,,
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,1,vitamin D remained stable in the tested serum gel tube conditions,0.0,0.0,0.0,0.0,,,
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,1,samples were exposed to variable pre-centrifugation temperatures,0.0,0.0,0.0,0.0,,,
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,1,"storage times included 4, 8, and 24 hours",0.0,0.0,0.0,0.0,,,
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,1,the study was designed to mimic field or remote collection conditions,0.0,0.0,0.0,0.0,,,
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,3,vitamin D remained stable in the tested serum gel tube conditions,0.0,0.0,0.0,0.0,,,
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,3,samples were exposed to variable pre-centrifugation temperatures,0.0,0.0,0.0,0.0,,,
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,3,"storage times included 4, 8, and 24 hours",0.0,0.0,0.0,0.0,,,
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,3,the study was designed to mimic field or remote collection conditions,0.0,0.0,0.0,0.0,,,
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,5,vitamin D remained stable in the tested serum gel tube conditions,0.0,0.0,0.0,0.0,,,
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,5,samples were exposed to variable pre-centrifugation temperatures,0.0,0.0,0.0,0.0,,,
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,5,"storage times included 4, 8, and 24 hours",0.0,0.0,0.0,0.0,,,
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,5,the study was designed to mimic field or remote collection conditions,0.0,0.0,0.0,0.0,,,
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,10,vitamin D remained stable in the tested serum gel tube conditions,0.0,0.0,0.0,0.0,,,
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,10,samples were exposed to variable pre-centrifugation temperatures,0.0,0.0,0.0,0.0,,,
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,10,"storage times included 4, 8, and 24 hours",0.0,0.0,0.0,0.0,,,
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,10,the study was designed to mimic field or remote collection conditions,0.0,0.0,0.0,0.0,,,
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,1,short-term processing delay can perturb cytokine measurements,0.0,0.0,0.0,0.0,,,
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,1,the study measured both serum and plasma cytokines,0.0,0.0,0.0,0.0,,,
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,1,reported cytokine changes ranged approximately from -10.8 percent to 43.5 percent,0.0,0.0,0.0,0.0,,,
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,1,effects are analyte-specific rather than uniform,0.0,0.0,0.0,0.0,,,
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,3,short-term processing delay can perturb cytokine measurements,0.0,0.0,0.0,0.0,,,
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,3,the study measured both serum and plasma cytokines,0.0,0.0,0.0,0.0,,,
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,3,reported cytokine changes ranged approximately from -10.8 percent to 43.5 percent,0.0,0.0,0.0,0.0,,,
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,3,effects are analyte-specific rather than uniform,0.0,0.0,0.0,0.0,,,
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,5,short-term processing delay can perturb cytokine measurements,0.0,0.0,0.0,0.0,,,
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,5,the study measured both serum and plasma cytokines,0.0,0.0,0.0,0.0,,,
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,5,reported cytokine changes ranged approximately from -10.8 percent to 43.5 percent,0.0,0.0,0.0,0.0,,,
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,5,effects are analyte-specific rather than uniform,0.0,0.0,0.0,0.0,,,
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,10,short-term processing delay can perturb cytokine measurements,0.0,0.0,0.0,0.0,,,
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,10,the study measured both serum and plasma cytokines,0.0,0.0,0.0,0.0,,,
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,10,reported cytokine changes ranged approximately from -10.8 percent to 43.5 percent,0.0,0.0,0.0,0.0,,,
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,10,effects are analyte-specific rather than uniform,0.0,0.0,0.0,0.0,,,
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,1,serum and plasma cytokines were poorly correlated,0.0,0.0,0.0,0.0,,,
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,1,serum and plasma should not be used interchangeably for cytokine analyses,0.0,0.0,0.0,0.0,,,
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,1,processing delay effects differ between matrices,0.0,0.0,0.0,0.0,,,
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,1,sample matrix choice is important for proteomic or cytokine studies,0.0,0.0,0.0,0.0,,,
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,3,serum and plasma cytokines were poorly correlated,0.0,0.0,0.0,0.0,,,
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,3,serum and plasma should not be used interchangeably for cytokine analyses,0.0,0.0,0.0,0.0,,,
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,3,processing delay effects differ between matrices,0.0,0.0,0.0,0.0,,,
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,3,sample matrix choice is important for proteomic or cytokine studies,0.0,0.0,0.0,0.0,,,
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,5,serum and plasma cytokines were poorly correlated,0.0,0.0,0.0,0.0,,,
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,5,serum and plasma should not be used interchangeably for cytokine analyses,0.0,0.0,0.0,0.0,,,
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,5,processing delay effects differ between matrices,0.0,0.0,0.0,0.0,,,
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,5,sample matrix choice is important for proteomic or cytokine studies,0.0,0.0,0.0,0.0,,,
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,10,serum and plasma cytokines were poorly correlated,0.0,0.0,0.0,0.0,,,
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,10,serum and plasma should not be used interchangeably for cytokine analyses,0.0,0.0,0.0,0.0,,,
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,10,processing delay effects differ between matrices,0.0,0.0,0.0,0.0,,,
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,10,sample matrix choice is important for proteomic or cytokine studies,0.0,0.0,0.0,0.0,,,
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,1,whole blood gene expression profiles were largely stable,0.0,0.0,0.0,0.0,,,
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,1,short-term delays included room temperature and 4 degrees Celsius conditions,0.0,0.0,0.0,0.0,,,
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,1,no significant effects were detected in pooled gene expression levels,0.0,0.0,0.0,0.0,,,
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,1,PAXgene-style RNA stabilization can help avoid confounding,0.0,0.0,0.0,0.0,,,
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,3,whole blood gene expression profiles were largely stable,0.0,0.0,0.0,0.0,,,
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,3,short-term delays included room temperature and 4 degrees Celsius conditions,0.0,0.0,0.0,0.0,,,
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,3,no significant effects were detected in pooled gene expression levels,0.0,0.0,0.0,0.0,,,
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,3,PAXgene-style RNA stabilization can help avoid confounding,0.0,0.0,0.0,0.0,,,
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,5,whole blood gene expression profiles were largely stable,0.0,0.0,0.0,0.0,,,
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,5,short-term delays included room temperature and 4 degrees Celsius conditions,0.0,0.0,0.0,0.0,,,
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,5,no significant effects were detected in pooled gene expression levels,0.0,0.0,0.0,0.0,,,
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,5,PAXgene-style RNA stabilization can help avoid confounding,0.0,0.0,0.0,0.0,,,
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,10,whole blood gene expression profiles were largely stable,0.0,0.0,0.0,0.0,,,
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,10,short-term delays included room temperature and 4 degrees Celsius conditions,0.0,0.0,0.0,0.0,,,
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,10,no significant effects were detected in pooled gene expression levels,0.0,0.0,0.0,0.0,,,
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,10,PAXgene-style RNA stabilization can help avoid confounding,0.0,0.0,0.0,0.0,,,
BQ010,Should flow or mass cytometry studies avoid processing delays greater than 5 hours for susceptible PBMC populations?,1,flow and mass cytometry should avoid delays greater than 5 hours for susceptible cell populations,0.0,0.0,0.0,0.0,,,
BQ010,Should flow or mass cytometry studies avoid processing delays greater than 5 hours for susceptible PBMC populations?,1,significant cellular changes were observed at 15 hours at 4 degrees Celsius,0.0,0.0,0.0,0.0,,,
BQ010,Should flow or mass cytometry studies avoid processing delays greater than 5 hours for susceptible PBMC populations?,1,live singlets and monocytes were affected,0.0,0.0,0.0,0.0,,,
BQ010,Should flow or mass cytometry studies avoid processing delays greater than 5 hours for susceptible PBMC populations?,1,Treg and CD8+ T cell populations were affected under some refrigerated delay conditions,0.0,0.0,0.0,0.0,,,
BQ010,Should flow or mass cytometry studies avoid processing delays greater than 5 hours for susceptible PBMC populations?,3,flow and mass cytometry should avoid delays greater than 5 hours for susceptible cell populations,0.0,0.0,0.0,0.0,,,
BQ010,Should flow or mass cytometry studies avoid processing delays greater than 5 hours for susceptible PBMC populations?,3,significant cellular changes were observed at 15 hours at 4 degrees Celsius,0.0,0.0,0.0,0.0,,,
BQ010,Should flow or mass cytometry studies avoid processing delays greater than 5 hours for susceptible PBMC populations?,3,live singlets and monocytes were affected,0.0,0.0,0.0,0.0,,,
BQ010,Should flow or mass cytometry studies avoid processing delays greater than 5 hours for susceptible PBMC populations?,3,Treg and CD8+ T cell populations were affected under some refrigerated delay conditions,0.0,0.0,0.0,0.0,,,
BQ010,Should flow or mass cytometry studies avoid processing delays greater than 5 hours for susceptible PBMC populations?,5,flow and mass cytometry should avoid delays greater than 5 hours for susceptible cell populations,0.0,0.0,0.0,0.0,,,
BQ010,Should flow or mass cytometry studies avoid processing delays greater than 5 hours for susceptible PBMC populations?,5,significant cellular changes were observed at 15 hours at 4 degrees Celsius,0.0,0.0,0.0,0.0,,,
BQ010,Should flow or mass cytometry studies avoid processing delays greater than 5 hours for susceptible PBMC populations?,5,live singlets and monocytes were affected,0.0,0.0,0.0,0.0,,,
BQ010,Should flow or mass cytometry studies avoid processing delays greater than 5 hours for susceptible PBMC populations?,5,Treg and CD8+ T cell populations were affected under some refrigerated delay conditions,0.0,0.0,0.0,0.0,,,
BQ010,Should flow or mass cytometry studies avoid processing delays greater than 5 hours for susceptible PBMC populations?,10,flow and mass cytometry should avoid delays greater than 5 hours for susceptible cell populations,0.0,0.0,0.0,0.0,,,
BQ010,Should flow or mass cytometry studies avoid processing delays greater than 5 hours for susceptible PBMC populations?,10,significant cellular changes were observed at 15 hours at 4 degrees Celsius,0.0,0.0,0.0,0.0,,,
BQ010,Should flow or mass cytometry studies avoid processing delays greater than 5 hours for susceptible PBMC populations?,10,live singlets and monocytes were affected,0.0,0.0,0.0,0.0,,,
BQ010,Should flow or mass cytometry studies avoid processing delays greater than 5 hours for susceptible PBMC populations?,10,Treg and CD8+ T cell populations were affected under some refrigerated delay conditions,0.0,0.0,0.0,0.0,,,
BQ011,Do processing delays up to 72 hours at room temperature or 4 degrees Celsius significantly affect plasma cytokines?,1,delayed processing was tested up to 72 hours,0.0,0.0,0.0,0.0,,,
BQ011,Do processing delays up to 72 hours at room temperature or 4 degrees Celsius significantly affect plasma cytokines?,1,samples were stored at room temperature or 4 degrees Celsius before processing,0.0,0.0,0.0,0.0,,,
