question_id,question,k,embedding_model,SemanticNuggetMatch@k,SemanticAnswerMatch@k,answer_best_rank,nugget_count,retrieved_snippet_count
BQ017,Is glutamine susceptible to long-term serum storage at minus 20 degrees Celsius compared with minus 80 degrees Celsius?,5,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,,4,0
BQ017,Is glutamine susceptible to long-term serum storage at minus 20 degrees Celsius compared with minus 80 degrees Celsius?,10,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,,4,0
BQ018,Do plasma and serum metabolomic profiles depend on pre-analytical factors such as processing delay and freeze-thaw cycles?,1,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,,4,0
BQ018,Do plasma and serum metabolomic profiles depend on pre-analytical factors such as processing delay and freeze-thaw cycles?,3,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,,4,0
BQ018,Do plasma and serum metabolomic profiles depend on pre-analytical factors such as processing delay and freeze-thaw cycles?,5,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,,4,0
BQ018,Do plasma and serum metabolomic profiles depend on pre-analytical factors such as processing delay and freeze-thaw cycles?,10,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,,4,0
BQ019,Can multiple freeze-thaw cycles alter urine metabolomic findings?,1,sentence-transformers/all-MiniLM-L6-v2,0.4592,0.8267,1,4,1
BQ019,Can multiple freeze-thaw cycles alter urine metabolomic findings?,3,sentence-transformers/all-MiniLM-L6-v2,0.5002,0.8616,2,4,3
BQ019,Can multiple freeze-thaw cycles alter urine metabolomic findings?,5,sentence-transformers/all-MiniLM-L6-v2,0.5002,0.8616,2,4,5
BQ019,Can multiple freeze-thaw cycles alter urine metabolomic findings?,10,sentence-transformers/all-MiniLM-L6-v2,0.5061,0.8616,2,4,7
BQ020,"Does one freeze-thaw cycle after storage at minus 70 degrees Celsius meaningfully affect common nutritional, NCD, and inflammatory biomarkers in serum?",1,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,,5,0
BQ020,"Does one freeze-thaw cycle after storage at minus 70 degrees Celsius meaningfully affect common nutritional, NCD, and inflammatory biomarkers in serum?",3,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,,5,0
BQ020,"Does one freeze-thaw cycle after storage at minus 70 degrees Celsius meaningfully affect common nutritional, NCD, and inflammatory biomarkers in serum?",5,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,,5,0
BQ020,"Does one freeze-thaw cycle after storage at minus 70 degrees Celsius meaningfully affect common nutritional, NCD, and inflammatory biomarkers in serum?",10,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,,5,0
