question_id,question,k,embedding_model,nugget,best_similarity,best_rank
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,10,sentence-transformers/all-MiniLM-L6-v2,"storage durations included 4, 8, and 24 hours before centrifugation",0.0,
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,10,sentence-transformers/all-MiniLM-L6-v2,delayed centrifugation can affect potassium validity,0.0,
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,1,sentence-transformers/all-MiniLM-L6-v2,glucose was not stable in at least one delayed centrifugation condition,0.0,
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,1,sentence-transformers/all-MiniLM-L6-v2,"serum gel tubes were exposed to 15, 25, or 35 degrees Celsius",0.0,
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,1,sentence-transformers/all-MiniLM-L6-v2,delays before centrifugation included up to 24 hours,0.0,
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,1,sentence-transformers/all-MiniLM-L6-v2,glucose validity may be affected by pre-centrifugation delay,0.0,
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,3,sentence-transformers/all-MiniLM-L6-v2,glucose was not stable in at least one delayed centrifugation condition,0.0,
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,3,sentence-transformers/all-MiniLM-L6-v2,"serum gel tubes were exposed to 15, 25, or 35 degrees Celsius",0.0,
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,3,sentence-transformers/all-MiniLM-L6-v2,delays before centrifugation included up to 24 hours,0.0,
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,3,sentence-transformers/all-MiniLM-L6-v2,glucose validity may be affected by pre-centrifugation delay,0.0,
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,5,sentence-transformers/all-MiniLM-L6-v2,glucose was not stable in at least one delayed centrifugation condition,0.0,
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,5,sentence-transformers/all-MiniLM-L6-v2,"serum gel tubes were exposed to 15, 25, or 35 degrees Celsius",0.0,
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,5,sentence-transformers/all-MiniLM-L6-v2,delays before centrifugation included up to 24 hours,0.0,
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,5,sentence-transformers/all-MiniLM-L6-v2,glucose validity may be affected by pre-centrifugation delay,0.0,
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,10,sentence-transformers/all-MiniLM-L6-v2,glucose was not stable in at least one delayed centrifugation condition,0.0,
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,10,sentence-transformers/all-MiniLM-L6-v2,"serum gel tubes were exposed to 15, 25, or 35 degrees Celsius",0.0,
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,10,sentence-transformers/all-MiniLM-L6-v2,delays before centrifugation included up to 24 hours,0.0,
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,10,sentence-transformers/all-MiniLM-L6-v2,glucose validity may be affected by pre-centrifugation delay,0.0,
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,1,sentence-transformers/all-MiniLM-L6-v2,phosphate was not stable in at least one pre-centrifugation condition,0.0,
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,1,sentence-transformers/all-MiniLM-L6-v2,the sample type was serum gel tube blood,0.0,
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,1,sentence-transformers/all-MiniLM-L6-v2,"storage temperatures included 15, 25, and 35 degrees Celsius",0.0,
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,1,sentence-transformers/all-MiniLM-L6-v2,"storage times included 4, 8, and 24 hours",0.0,
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,3,sentence-transformers/all-MiniLM-L6-v2,phosphate was not stable in at least one pre-centrifugation condition,0.0,
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,3,sentence-transformers/all-MiniLM-L6-v2,the sample type was serum gel tube blood,0.0,
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,3,sentence-transformers/all-MiniLM-L6-v2,"storage temperatures included 15, 25, and 35 degrees Celsius",0.0,
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,3,sentence-transformers/all-MiniLM-L6-v2,"storage times included 4, 8, and 24 hours",0.0,
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,5,sentence-transformers/all-MiniLM-L6-v2,phosphate was not stable in at least one pre-centrifugation condition,0.0,
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,5,sentence-transformers/all-MiniLM-L6-v2,the sample type was serum gel tube blood,0.0,
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,5,sentence-transformers/all-MiniLM-L6-v2,"storage temperatures included 15, 25, and 35 degrees Celsius",0.0,
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,5,sentence-transformers/all-MiniLM-L6-v2,"storage times included 4, 8, and 24 hours",0.0,
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,10,sentence-transformers/all-MiniLM-L6-v2,phosphate was not stable in at least one pre-centrifugation condition,0.0,
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,10,sentence-transformers/all-MiniLM-L6-v2,the sample type was serum gel tube blood,0.0,
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,10,sentence-transformers/all-MiniLM-L6-v2,"storage temperatures included 15, 25, and 35 degrees Celsius",0.0,
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,10,sentence-transformers/all-MiniLM-L6-v2,"storage times included 4, 8, and 24 hours",0.0,
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,1,sentence-transformers/all-MiniLM-L6-v2,albumin remained stable in the tested storage conditions,0.3124,1
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,1,sentence-transformers/all-MiniLM-L6-v2,serum gel tubes were stored before centrifugation,0.7178,1
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,1,sentence-transformers/all-MiniLM-L6-v2,"temperatures included 15, 25, and 35 degrees Celsius",0.1652,1
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,1,sentence-transformers/all-MiniLM-L6-v2,time delays included up to 24 hours,0.0107,1
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,3,sentence-transformers/all-MiniLM-L6-v2,albumin remained stable in the tested storage conditions,0.339,2
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,3,sentence-transformers/all-MiniLM-L6-v2,serum gel tubes were stored before centrifugation,0.7178,1
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,3,sentence-transformers/all-MiniLM-L6-v2,"temperatures included 15, 25, and 35 degrees Celsius",0.1652,1
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,3,sentence-transformers/all-MiniLM-L6-v2,time delays included up to 24 hours,0.0434,2
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,5,sentence-transformers/all-MiniLM-L6-v2,albumin remained stable in the tested storage conditions,0.339,2
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,5,sentence-transformers/all-MiniLM-L6-v2,serum gel tubes were stored before centrifugation,0.7178,1
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,5,sentence-transformers/all-MiniLM-L6-v2,"temperatures included 15, 25, and 35 degrees Celsius",0.1662,4
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,5,sentence-transformers/all-MiniLM-L6-v2,time delays included up to 24 hours,0.0434,2
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,10,sentence-transformers/all-MiniLM-L6-v2,albumin remained stable in the tested storage conditions,0.4046,6
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,10,sentence-transformers/all-MiniLM-L6-v2,serum gel tubes were stored before centrifugation,0.7178,1
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,10,sentence-transformers/all-MiniLM-L6-v2,"temperatures included 15, 25, and 35 degrees Celsius",0.2743,8
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,10,sentence-transformers/all-MiniLM-L6-v2,time delays included up to 24 hours,0.1648,8
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,1,sentence-transformers/all-MiniLM-L6-v2,C-reactive protein remained stable in all tested serum gel tube storage conditions,0.0,
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,1,sentence-transformers/all-MiniLM-L6-v2,samples were stored before centrifugation,0.0,
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,1,sentence-transformers/all-MiniLM-L6-v2,"storage temperatures included 15, 25, and 35 degrees Celsius",0.0,
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,1,sentence-transformers/all-MiniLM-L6-v2,storage time reached 24 hours,0.0,
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,3,sentence-transformers/all-MiniLM-L6-v2,C-reactive protein remained stable in all tested serum gel tube storage conditions,0.0,
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,3,sentence-transformers/all-MiniLM-L6-v2,samples were stored before centrifugation,0.0,
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,3,sentence-transformers/all-MiniLM-L6-v2,"storage temperatures included 15, 25, and 35 degrees Celsius",0.0,
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,3,sentence-transformers/all-MiniLM-L6-v2,storage time reached 24 hours,0.0,
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,5,sentence-transformers/all-MiniLM-L6-v2,C-reactive protein remained stable in all tested serum gel tube storage conditions,0.0,
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,5,sentence-transformers/all-MiniLM-L6-v2,samples were stored before centrifugation,0.0,
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,5,sentence-transformers/all-MiniLM-L6-v2,"storage temperatures included 15, 25, and 35 degrees Celsius",0.0,
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,5,sentence-transformers/all-MiniLM-L6-v2,storage time reached 24 hours,0.0,
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,10,sentence-transformers/all-MiniLM-L6-v2,C-reactive protein remained stable in all tested serum gel tube storage conditions,0.0,
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,10,sentence-transformers/all-MiniLM-L6-v2,samples were stored before centrifugation,0.0,
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,10,sentence-transformers/all-MiniLM-L6-v2,"storage temperatures included 15, 25, and 35 degrees Celsius",0.0,
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,10,sentence-transformers/all-MiniLM-L6-v2,storage time reached 24 hours,0.0,
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,1,sentence-transformers/all-MiniLM-L6-v2,vitamin D remained stable in the tested serum gel tube conditions,0.0,
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,1,sentence-transformers/all-MiniLM-L6-v2,samples were exposed to variable pre-centrifugation temperatures,0.0,
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,1,sentence-transformers/all-MiniLM-L6-v2,"storage times included 4, 8, and 24 hours",0.0,
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,1,sentence-transformers/all-MiniLM-L6-v2,the study was designed to mimic field or remote collection conditions,0.0,
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,3,sentence-transformers/all-MiniLM-L6-v2,vitamin D remained stable in the tested serum gel tube conditions,0.0,
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,3,sentence-transformers/all-MiniLM-L6-v2,samples were exposed to variable pre-centrifugation temperatures,0.0,
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,3,sentence-transformers/all-MiniLM-L6-v2,"storage times included 4, 8, and 24 hours",0.0,
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,3,sentence-transformers/all-MiniLM-L6-v2,the study was designed to mimic field or remote collection conditions,0.0,
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,5,sentence-transformers/all-MiniLM-L6-v2,vitamin D remained stable in the tested serum gel tube conditions,0.0,
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,5,sentence-transformers/all-MiniLM-L6-v2,samples were exposed to variable pre-centrifugation temperatures,0.0,
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,5,sentence-transformers/all-MiniLM-L6-v2,"storage times included 4, 8, and 24 hours",0.0,
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,5,sentence-transformers/all-MiniLM-L6-v2,the study was designed to mimic field or remote collection conditions,0.0,
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,10,sentence-transformers/all-MiniLM-L6-v2,vitamin D remained stable in the tested serum gel tube conditions,0.0,
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,10,sentence-transformers/all-MiniLM-L6-v2,samples were exposed to variable pre-centrifugation temperatures,0.0,
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,10,sentence-transformers/all-MiniLM-L6-v2,"storage times included 4, 8, and 24 hours",0.0,
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,10,sentence-transformers/all-MiniLM-L6-v2,the study was designed to mimic field or remote collection conditions,0.0,
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,1,sentence-transformers/all-MiniLM-L6-v2,short-term processing delay can perturb cytokine measurements,0.0,
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,1,sentence-transformers/all-MiniLM-L6-v2,the study measured both serum and plasma cytokines,0.0,
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,1,sentence-transformers/all-MiniLM-L6-v2,reported cytokine changes ranged approximately from -10.8 percent to 43.5 percent,0.0,
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,1,sentence-transformers/all-MiniLM-L6-v2,effects are analyte-specific rather than uniform,0.0,
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,3,sentence-transformers/all-MiniLM-L6-v2,short-term processing delay can perturb cytokine measurements,0.0,
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,3,sentence-transformers/all-MiniLM-L6-v2,the study measured both serum and plasma cytokines,0.0,
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,3,sentence-transformers/all-MiniLM-L6-v2,reported cytokine changes ranged approximately from -10.8 percent to 43.5 percent,0.0,
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,3,sentence-transformers/all-MiniLM-L6-v2,effects are analyte-specific rather than uniform,0.0,
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,5,sentence-transformers/all-MiniLM-L6-v2,short-term processing delay can perturb cytokine measurements,0.0,
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,5,sentence-transformers/all-MiniLM-L6-v2,the study measured both serum and plasma cytokines,0.0,
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,5,sentence-transformers/all-MiniLM-L6-v2,reported cytokine changes ranged approximately from -10.8 percent to 43.5 percent,0.0,
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,5,sentence-transformers/all-MiniLM-L6-v2,effects are analyte-specific rather than uniform,0.0,
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,10,sentence-transformers/all-MiniLM-L6-v2,short-term processing delay can perturb cytokine measurements,0.0,
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,10,sentence-transformers/all-MiniLM-L6-v2,the study measured both serum and plasma cytokines,0.0,
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,10,sentence-transformers/all-MiniLM-L6-v2,reported cytokine changes ranged approximately from -10.8 percent to 43.5 percent,0.0,
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,10,sentence-transformers/all-MiniLM-L6-v2,effects are analyte-specific rather than uniform,0.0,
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,1,sentence-transformers/all-MiniLM-L6-v2,serum and plasma cytokines were poorly correlated,0.0,
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,1,sentence-transformers/all-MiniLM-L6-v2,serum and plasma should not be used interchangeably for cytokine analyses,0.0,
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,1,sentence-transformers/all-MiniLM-L6-v2,processing delay effects differ between matrices,0.0,
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,1,sentence-transformers/all-MiniLM-L6-v2,sample matrix choice is important for proteomic or cytokine studies,0.0,
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,3,sentence-transformers/all-MiniLM-L6-v2,serum and plasma cytokines were poorly correlated,0.0,
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,3,sentence-transformers/all-MiniLM-L6-v2,serum and plasma should not be used interchangeably for cytokine analyses,0.0,
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,3,sentence-transformers/all-MiniLM-L6-v2,processing delay effects differ between matrices,0.0,
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,3,sentence-transformers/all-MiniLM-L6-v2,sample matrix choice is important for proteomic or cytokine studies,0.0,
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,5,sentence-transformers/all-MiniLM-L6-v2,serum and plasma cytokines were poorly correlated,0.0,
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,5,sentence-transformers/all-MiniLM-L6-v2,serum and plasma should not be used interchangeably for cytokine analyses,0.0,
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,5,sentence-transformers/all-MiniLM-L6-v2,processing delay effects differ between matrices,0.0,
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,5,sentence-transformers/all-MiniLM-L6-v2,sample matrix choice is important for proteomic or cytokine studies,0.0,
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,10,sentence-transformers/all-MiniLM-L6-v2,serum and plasma cytokines were poorly correlated,0.0,
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,10,sentence-transformers/all-MiniLM-L6-v2,serum and plasma should not be used interchangeably for cytokine analyses,0.0,
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,10,sentence-transformers/all-MiniLM-L6-v2,processing delay effects differ between matrices,0.0,
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,10,sentence-transformers/all-MiniLM-L6-v2,sample matrix choice is important for proteomic or cytokine studies,0.0,
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,1,sentence-transformers/all-MiniLM-L6-v2,whole blood gene expression profiles were largely stable,0.0,
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,1,sentence-transformers/all-MiniLM-L6-v2,short-term delays included room temperature and 4 degrees Celsius conditions,0.0,
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,1,sentence-transformers/all-MiniLM-L6-v2,no significant effects were detected in pooled gene expression levels,0.0,
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,1,sentence-transformers/all-MiniLM-L6-v2,PAXgene-style RNA stabilization can help avoid confounding,0.0,
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,3,sentence-transformers/all-MiniLM-L6-v2,whole blood gene expression profiles were largely stable,0.0,
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,3,sentence-transformers/all-MiniLM-L6-v2,short-term delays included room temperature and 4 degrees Celsius conditions,0.0,
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,3,sentence-transformers/all-MiniLM-L6-v2,no significant effects were detected in pooled gene expression levels,0.0,
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,3,sentence-transformers/all-MiniLM-L6-v2,PAXgene-style RNA stabilization can help avoid confounding,0.0,
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,5,sentence-transformers/all-MiniLM-L6-v2,whole blood gene expression profiles were largely stable,0.0,
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,5,sentence-transformers/all-MiniLM-L6-v2,short-term delays included room temperature and 4 degrees Celsius conditions,0.0,
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,5,sentence-transformers/all-MiniLM-L6-v2,no significant effects were detected in pooled gene expression levels,0.0,
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,5,sentence-transformers/all-MiniLM-L6-v2,PAXgene-style RNA stabilization can help avoid confounding,0.0,
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,10,sentence-transformers/all-MiniLM-L6-v2,whole blood gene expression profiles were largely stable,0.0,
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,10,sentence-transformers/all-MiniLM-L6-v2,short-term delays included room temperature and 4 degrees Celsius conditions,0.0,
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,10,sentence-transformers/all-MiniLM-L6-v2,no significant effects were detected in pooled gene expression levels,0.0,
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,10,sentence-transformers/all-MiniLM-L6-v2,PAXgene-style RNA stabilization can help avoid confounding,0.0,
BQ010,Should flow or mass cytometry studies avoid processing delays greater than 5 hours for susceptible PBMC populations?,1,sentence-transformers/all-MiniLM-L6-v2,flow and mass cytometry should avoid delays greater than 5 hours for susceptible cell populations,0.0,
BQ010,Should flow or mass cytometry studies avoid processing delays greater than 5 hours for susceptible PBMC populations?,1,sentence-transformers/all-MiniLM-L6-v2,significant cellular changes were observed at 15 hours at 4 degrees Celsius,0.0,
BQ010,Should flow or mass cytometry studies avoid processing delays greater than 5 hours for susceptible PBMC populations?,1,sentence-transformers/all-MiniLM-L6-v2,live singlets and monocytes were affected,0.0,
BQ010,Should flow or mass cytometry studies avoid processing delays greater than 5 hours for susceptible PBMC populations?,1,sentence-transformers/all-MiniLM-L6-v2,Treg and CD8+ T cell populations were affected under some refrigerated delay conditions,0.0,
BQ010,Should flow or mass cytometry studies avoid processing delays greater than 5 hours for susceptible PBMC populations?,3,sentence-transformers/all-MiniLM-L6-v2,flow and mass cytometry should avoid delays greater than 5 hours for susceptible cell populations,0.0,
BQ010,Should flow or mass cytometry studies avoid processing delays greater than 5 hours for susceptible PBMC populations?,3,sentence-transformers/all-MiniLM-L6-v2,significant cellular changes were observed at 15 hours at 4 degrees Celsius,0.0,
BQ010,Should flow or mass cytometry studies avoid processing delays greater than 5 hours for susceptible PBMC populations?,3,sentence-transformers/all-MiniLM-L6-v2,live singlets and monocytes were affected,0.0,
