run_label,run_dir,question_id,question,k,ROUGE1_Nugget@k,ROUGEL_Nugget@k,ROUGE_Nugget@k,BM25_Nugget@k,nugget_count,retrieved_snippet_count,embedding_model,SemanticNuggetMatch@k,SemanticAnswerMatch@k,answer_best_rank
lexical,outputs\evaluation\provideq20_lexical,BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,3,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,5,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,10,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,1,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,3,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,5,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,10,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,1,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,3,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,5,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,10,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ010,Should flow or mass cytometry studies avoid processing delays greater than 5 hours for susceptible PBMC populations?,1,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ010,Should flow or mass cytometry studies avoid processing delays greater than 5 hours for susceptible PBMC populations?,3,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ010,Should flow or mass cytometry studies avoid processing delays greater than 5 hours for susceptible PBMC populations?,5,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ010,Should flow or mass cytometry studies avoid processing delays greater than 5 hours for susceptible PBMC populations?,10,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ011,Do processing delays up to 72 hours at room temperature or 4 degrees Celsius significantly affect plasma cytokines?,1,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ011,Do processing delays up to 72 hours at room temperature or 4 degrees Celsius significantly affect plasma cytokines?,3,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ011,Do processing delays up to 72 hours at room temperature or 4 degrees Celsius significantly affect plasma cytokines?,5,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ011,Do processing delays up to 72 hours at room temperature or 4 degrees Celsius significantly affect plasma cytokines?,10,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ012,Are plasma chemokines stable after delayed processing up to 72 hours at room temperature or 4 degrees Celsius?,1,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ012,Are plasma chemokines stable after delayed processing up to 72 hours at room temperature or 4 degrees Celsius?,3,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ012,Are plasma chemokines stable after delayed processing up to 72 hours at room temperature or 4 degrees Celsius?,5,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ012,Are plasma chemokines stable after delayed processing up to 72 hours at room temperature or 4 degrees Celsius?,10,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ013,Is plasma cell-free DNA affected by sample processing delays up to 72 hours at room temperature or 4 degrees Celsius?,1,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ013,Is plasma cell-free DNA affected by sample processing delays up to 72 hours at room temperature or 4 degrees Celsius?,3,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ013,Is plasma cell-free DNA affected by sample processing delays up to 72 hours at room temperature or 4 degrees Celsius?,5,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ013,Is plasma cell-free DNA affected by sample processing delays up to 72 hours at room temperature or 4 degrees Celsius?,10,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ014,Does delayed processing up to 72 hours affect plasma blood clotting potential measured by thrombin generation?,1,0.0947,0.0892,0.092,0.149,4,1,sentence-transformers/all-MiniLM-L6-v2,0.3513,0.6176,1
lexical,outputs\evaluation\provideq20_lexical,BQ014,Does delayed processing up to 72 hours affect plasma blood clotting potential measured by thrombin generation?,3,0.1032,0.0939,0.0985,0.2155,4,3,sentence-transformers/all-MiniLM-L6-v2,0.3953,0.6756,2
lexical,outputs\evaluation\provideq20_lexical,BQ014,Does delayed processing up to 72 hours affect plasma blood clotting potential measured by thrombin generation?,5,0.1724,0.1663,0.1693,0.3877,4,5,sentence-transformers/all-MiniLM-L6-v2,0.4187,0.6756,2
lexical,outputs\evaluation\provideq20_lexical,BQ014,Does delayed processing up to 72 hours affect plasma blood clotting potential measured by thrombin generation?,10,0.1875,0.186,0.1867,0.4027,4,10,sentence-transformers/all-MiniLM-L6-v2,0.4846,0.6756,2
lexical,outputs\evaluation\provideq20_lexical,BQ015,Does long-term storage at minus 20 degrees Celsius versus minus 80 degrees Celsius affect serum metabolomic and proteomic biomarkers?,1,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ015,Does long-term storage at minus 20 degrees Celsius versus minus 80 degrees Celsius affect serum metabolomic and proteomic biomarkers?,3,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ015,Does long-term storage at minus 20 degrees Celsius versus minus 80 degrees Celsius affect serum metabolomic and proteomic biomarkers?,5,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ015,Does long-term storage at minus 20 degrees Celsius versus minus 80 degrees Celsius affect serum metabolomic and proteomic biomarkers?,10,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ016,Can serum glutamate/glutamine ratio indicate sub-optimal long-term storage at minus 20 degrees Celsius?,1,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ016,Can serum glutamate/glutamine ratio indicate sub-optimal long-term storage at minus 20 degrees Celsius?,3,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ016,Can serum glutamate/glutamine ratio indicate sub-optimal long-term storage at minus 20 degrees Celsius?,5,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ016,Can serum glutamate/glutamine ratio indicate sub-optimal long-term storage at minus 20 degrees Celsius?,10,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ017,Is glutamine susceptible to long-term serum storage at minus 20 degrees Celsius compared with minus 80 degrees Celsius?,1,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ017,Is glutamine susceptible to long-term serum storage at minus 20 degrees Celsius compared with minus 80 degrees Celsius?,3,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ017,Is glutamine susceptible to long-term serum storage at minus 20 degrees Celsius compared with minus 80 degrees Celsius?,5,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ017,Is glutamine susceptible to long-term serum storage at minus 20 degrees Celsius compared with minus 80 degrees Celsius?,10,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ018,Do plasma and serum metabolomic profiles depend on pre-analytical factors such as processing delay and freeze-thaw cycles?,1,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ018,Do plasma and serum metabolomic profiles depend on pre-analytical factors such as processing delay and freeze-thaw cycles?,3,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ018,Do plasma and serum metabolomic profiles depend on pre-analytical factors such as processing delay and freeze-thaw cycles?,5,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ018,Do plasma and serum metabolomic profiles depend on pre-analytical factors such as processing delay and freeze-thaw cycles?,10,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ019,Can multiple freeze-thaw cycles alter urine metabolomic findings?,1,0.1451,0.1213,0.1332,0.1815,4,1,sentence-transformers/all-MiniLM-L6-v2,0.4592,0.8267,1
lexical,outputs\evaluation\provideq20_lexical,BQ019,Can multiple freeze-thaw cycles alter urine metabolomic findings?,3,0.1482,0.1244,0.1363,0.1866,4,3,sentence-transformers/all-MiniLM-L6-v2,0.5002,0.8616,2
lexical,outputs\evaluation\provideq20_lexical,BQ019,Can multiple freeze-thaw cycles alter urine metabolomic findings?,5,0.1482,0.1244,0.1363,0.2423,4,5,sentence-transformers/all-MiniLM-L6-v2,0.5002,0.8616,2
lexical,outputs\evaluation\provideq20_lexical,BQ019,Can multiple freeze-thaw cycles alter urine metabolomic findings?,10,0.1482,0.1244,0.1363,0.2625,4,7,sentence-transformers/all-MiniLM-L6-v2,0.5061,0.8616,2
lexical,outputs\evaluation\provideq20_lexical,BQ020,"Does one freeze-thaw cycle after storage at minus 70 degrees Celsius meaningfully affect common nutritional, NCD, and inflammatory biomarkers in serum?",1,0.0,0.0,0.0,0.0,5,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ020,"Does one freeze-thaw cycle after storage at minus 70 degrees Celsius meaningfully affect common nutritional, NCD, and inflammatory biomarkers in serum?",3,0.0,0.0,0.0,0.0,5,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ020,"Does one freeze-thaw cycle after storage at minus 70 degrees Celsius meaningfully affect common nutritional, NCD, and inflammatory biomarkers in serum?",5,0.0,0.0,0.0,0.0,5,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ020,"Does one freeze-thaw cycle after storage at minus 70 degrees Celsius meaningfully affect common nutritional, NCD, and inflammatory biomarkers in serum?",10,0.0,0.0,0.0,0.0,5,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
